Monthly Mosquito Count,PRCP,TMAX,TMIN
2,0.0,27.8,14.4
2,0.0,27.8,12.8
2,0.0,28.3,12.8
2,0.0,28.9,13.9
2,0.0,28.9,15.6
2,0.0,29.4,20.0
2,0.0,30.0,18.9
2,0.0,30.0,18.9
2,0.0,27.8,15.6
2,0.0,27.2,15.0
2,0.0,27.8,10.0
2,0.0,28.9,11.7
2,0.0,29.4,14.4
2,0.0,30.6,15.6
2,0.0,30.0,16.1
2,0.0,19.4,5.6
2,0.0,24.4,5.0
2,0.0,27.2,11.7
2,0.0,28.3,15.0
2,0.0,29.4,17.8
2,0.0,27.2,14.4
2,0.5,25.6,10.6
2,22.1,18.9,13.3
2,0.0,25.6,13.3
2,0.0,25.6,11.7
2,0.0,27.2,11.1
2,0.0,21.1,8.9
2,0.0,29.4,13.9
2,0.0,28.9,13.9
2,31.5,20.0,7.2
2,0.0,15.6,3.9
2,0.0,20.0,6.1
2,0.0,22.8,11.7
2,0.0,24.4,17.8
2,0.0,30.0,20.6
2,0.0,30.0,21.1
2,7.1,27.8,19.4
2,12.2,25.0,8.9
2,0.0,21.7,4.4
2,0.0,16.7,4.4
2,0.0,22.8,6.7
2,0.0,25.6,10.6
1,0.0,26.7,13.3
1,0.8,25.0,16.7
1,0.0,26.7,16.7
1,0.0,27.2,16.1
1,0.0,26.1,17.8
1,0.0,27.8,16.7
1,0.0,22.8,17.2
1,0.0,18.3,13.9
1,6.9,17.8,10.6
1,0.0,19.4,3.3
1,0.0,18.9,2.8
1,0.0,14.4,5.0
1,0.0,21.1,2.8
1,0.0,22.2,2.8
1,0.0,22.8,2.2
1,0.0,23.9,3.9
1,0.0,23.9,11.7
1,0.0,23.3,3.9
1,0.0,23.9,6.1
1,0.0,26.7,10.0
1,0.0,27.2,13.3
1,1.8,27.8,18.3
1,0.0,28.3,18.9
1,0.0,27.2,20.6
1,0.0,24.4,15.0
1,0.0,21.7,10.6
1,0.0,27.2,15.6
1,0.0,28.3,16.1
1,0.0,27.8,15.6
1,0.0,24.4,16.7
1,1.0,20.6,16.7
0,0.0,28.9,17.2
0,0.0,27.8,17.8
0,0.0,28.3,20.0
0,2.5,28.3,14.4
0,0.0,18.3,8.9
0,0.0,23.3,12.2
0,0.0,24.4,11.1
0,0.0,23.3,12.2
0,0.0,28.3,12.2
0,8.6,26.7,17.2
0,2.5,26.7,17.8
0,2.5,27.2,18.3
0,0.0,27.2,17.8
0,0.0,27.8,16.7
0,0.0,27.8,16.7
0,0.0,28.9,17.2
0,0.0,28.9,17.8
0,0.0,28.3,17.2
0,0.0,28.9,17.8
0,0.0,28.3,17.8
0,0.0,27.8,16.7
0,0.0,27.2,16.1
0,0.0,31.1,18.3
0,0.3,31.1,17.2
0,4.8,27.8,19.4
0,0.0,26.1,14.4
0,0.0,27.2,15.0
0,0.0,26.7,15.0
0,0.0,28.9,17.2
0,0.0,27.8,16.7
0,0.0,30.0,18.3
0,7.1,30.0,17.8
0,0.0,30.0,15.6
0,0.0,28.9,15.6
0,0.0,31.1,16.7
0,1.3,30.0,18.9
0,0.0,28.3,18.3
0,0.0,27.8,13.9
0,0.0,27.2,16.1
0,0.0,27.2,13.9
0,0.0,28.3,13.9
0,0.0,28.3,16.7
0,0.0,27.8,17.2
0,0.0,28.3,18.3
0,0.0,28.9,18.9
0,0.0,26.7,18.3
0,0.0,27.2,16.7
0,0.0,27.2,17.2
0,0.0,26.1,17.2
0,0.0,30.6,17.2
0,0.0,30.6,17.2
0,0.0,30.6,17.2
0,5.8,30.6,17.2
0,31.2,26.7,15.6
0,6.9,25.0,16.7
0,0.0,22.2,9.4
0,0.0,24.4,9.4
0,0.0,26.7,9.4
0,0.0,30.6,18.3
0,4.3,30.6,18.3
0,0.0,30.6,18.3
1,0.0,30.6,18.3
1,0.0,31.1,21.7
1,0.0,31.7,20.6
1,0.0,31.7,21.1
1,0.0,31.1,19.4
1,0.0,30.6,19.4
1,0.0,,
1,0.0,30.0,18.9
1,0.0,29.4,19.4
1,0.0,30.6,21.7
1,0.0,29.4,17.2
1,0.0,32.8,20.6
1,0.0,32.8,21.1
1,0.0,32.8,21.1
1,0.0,31.1,22.2
1,0.0,31.7,21.1
1,50.8,31.7,17.8
1,0.0,30.0,19.4
1,0.0,31.1,20.6
1,0.0,31.1,20.6
1,0.0,31.7,20.0
1,0.0,31.7,17.2
1,0.0,31.7,16.1
1,0.3,33.3,17.2
1,0.0,,
1,0.0,33.3,17.2
1,0.0,33.9,17.2
1,0.3,33.9,16.7
1,0.0,28.9,22.8
1,0.0,30.0,22.8
1,0.0,,
2,50.8,31.7,21.7
2,13.5,32.2,21.1
2,0.0,32.2,20.6
2,0.0,32.2,20.6
2,0.0,32.2,20.6
2,0.0,30.0,21.1
2,65.3,26.7,22.2
2,13.7,28.9,22.2
2,27.9,31.7,20.6
2,0.0,33.3,23.3
2,0.0,34.4,22.2
2,1.5,34.4,22.8
2,0.0,34.4,22.2
2,0.0,32.2,23.3
2,0.0,32.8,21.1
2,11.4,32.2,21.1
2,0.0,32.2,21.1
2,0.0,30.6,22.2
2,0.0,31.7,21.1
2,0.0,30.0,22.2
2,19.1,30.0,22.2
2,1.3,30.0,23.9
2,12.4,30.6,22.8
2,71.1,,22.8
2,50.8,29.4,22.8
2,24.1,28.3,22.8
2,22.9,28.3,22.8
2,0.0,29.4,22.2
2,0.0,31.7,21.1
2,0.0,30.6,22.8
3,0.0,30.6,22.8
3,0.0,32.2,22.8
3,0.0,31.7,24.4
3,0.0,,
3,0.0,,
3,2.5,33.9,22.8
3,0.0,33.3,22.2
3,0.0,34.4,24.4
3,0.0,35.0,23.9
3,11.4,33.9,22.8
3,7.6,32.2,22.2
3,25.4,32.2,22.2
3,0.0,31.1,23.9
3,10.2,32.2,23.3
3,0.0,,
3,29.7,32.8,21.7
3,3.8,28.3,22.8
3,15.2,30.0,23.3
3,0.0,30.6,23.3
3,0.0,32.8,24.4
3,0.0,35.0,21.7
3,2.5,35.0,21.7
3,5.1,32.8,22.2
3,10.2,31.7,22.8
3,10.4,31.7,22.8
3,0.0,32.2,24.4
3,0.0,32.2,23.9
3,0.0,33.3,24.4
3,0.0,32.2,23.9
3,0.0,32.8,23.9
3,0.0,32.8,23.9
2,0.0,32.8,23.9
2,8.4,30.6,24.4
2,0.0,31.7,23.3
2,0.0,32.8,22.8
2,0.0,33.9,23.3
2,22.9,33.9,23.3
2,21.6,32.2,21.7
2,7.6,31.7,24.4
2,0.0,33.3,24.4
2,0.0,33.9,23.9
2,5.1,32.2,23.3
2,29.0,31.1,23.3
2,1.0,30.6,23.3
2,0.0,30.6,23.9
2,0.0,32.8,22.8
2,0.0,32.8,25.0
2,0.0,32.2,25.0
2,0.0,31.1,23.9
2,8.9,31.7,23.3
2,5.1,31.7,23.3
2,6.4,32.8,23.3
2,45.7,32.2,22.2
2,46.0,30.6,22.8
2,0.0,32.2,22.8
2,0.0,32.8,22.8
2,0.0,31.7,23.9
2,25.4,28.3,23.9
2,13.2,31.7,25.0
2,5.1,31.7,23.3
2,5.1,31.7,24.4
2,0.0,33.9,25.0
3,0.0,32.2,25.0
3,0.0,32.2,23.9
3,0.0,31.1,23.3
3,0.0,31.7,22.2
3,0.0,32.8,23.3
3,3.0,31.7,22.8
3,0.0,31.1,22.2
3,0.0,31.7,23.3
3,29.0,32.2,23.3
3,3.0,28.3,23.9
3,6.6,30.0,23.9
3,0.0,28.9,22.2
3,2.5,27.2,23.3
3,0.0,27.8,23.3
3,0.0,31.1,23.3
3,0.0,30.0,21.7
3,48.3,30.0,22.2
3,1.8,31.7,23.3
3,6.9,31.7,22.8
3,0.0,30.0,23.9
3,0.0,30.0,22.2
3,13.7,30.0,22.2
3,31.0,31.7,22.2
3,2.5,31.7,22.2
3,0.0,28.3,20.6
3,0.0,29.4,20.6
3,0.0,31.1,21.7
3,0.0,31.7,21.7
3,2.5,32.2,22.8
3,4.3,31.1,22.2
3,0.0,31.7,22.2
3,0.0,31.7,22.8
3,12.7,28.3,22.8
3,22.9,30.0,23.3
3,25.4,30.6,22.2
3,9.7,31.1,22.8
3,0.0,30.6,22.2
3,0.0,30.6,22.2
3,0.0,30.6,23.9
3,0.0,29.4,21.7
3,0.0,30.0,20.6
3,0.0,28.3,18.9
3,0.0,28.9,18.9
3,0.0,30.0,21.7
3,0.0,30.0,22.2
3,0.0,30.6,20.0
3,0.0,29.4,20.0
3,0.0,25.6,20.0
3,0.0,30.6,19.4
3,0.0,29.4,21.7
3,0.0,28.3,15.6
3,0.0,27.2,17.8
3,0.0,28.3,18.3
3,0.5,27.2,18.9
3,0.0,28.3,20.6
3,0.0,28.9,21.7
3,0.0,29.4,20.6
3,0.0,29.4,19.4
3,0.0,21.1,12.8
3,0.0,19.4,11.1
3,0.0,18.9,11.1
1,0.0,21.7,14.4
1,0.0,23.3,13.3
1,2.5,23.3,13.3
1,0.0,23.3,13.3
1,0.0,22.8,16.1
1,10.2,22.8,12.2
1,0.0,21.7,10.6
1,0.0,23.3,7.2
1,0.0,23.3,9.4
1,0.0,23.3,9.4
1,0.0,25.0,13.9
1,0.0,26.1,16.7
1,0.0,27.2,17.8
1,0.0,27.2,15.6
1,0.0,24.4,16.7
1,0.0,20.6,13.9
1,0.0,20.6,13.9
1,0.0,25.6,16.1
1,0.0,22.8,10.6
1,0.0,20.6,13.9
1,0.0,22.8,12.2
1,0.0,21.7,7.8
1,0.0,21.7,6.7
1,0.0,22.8,6.7
1,0.0,23.3,7.2
1,0.0,20.6,10.0
1,0.0,25.0,11.7
1,0.0,26.1,13.3
1,0.0,26.1,10.6
1,0.0,24.4,12.2
0,0.0,22.2,7.2
0,0.0,22.2,7.2
0,0.0,22.8,8.3
0,0.0,23.3,8.9
0,2.0,23.9,8.3
0,0.0,23.9,13.9
0,0.0,26.7,13.9
0,0.0,21.7,12.8
0,0.0,26.1,20.0
0,0.0,28.3,13.9
0,0.0,27.2,18.3
0,0.0,28.3,18.3
0,0.0,28.9,17.2
0,0.0,28.3,17.2
0,0.0,27.8,16.1
0,0.0,28.3,16.1
0,0.0,28.3,16.1
0,0.3,28.3,2.2
0,0.0,16.7,5.0
0,0.0,22.2,15.0
0,0.0,23.3,15.0
0,0.0,23.3,11.1
0,0.0,23.3,8.3
0,0.0,16.7,3.9
0,0.0,22.2,8.9
0,0.0,23.3,8.9
0,0.0,22.8,12.2
0,0.0,26.7,13.9
0,0.0,26.7,15.0
0,0.0,28.3,8.9
0,0.0,25.0,8.9
1,0.0,26.7,15.6
1,0.0,26.7,15.0
1,0.0,27.8,16.7
1,17.8,30.0,20.0
1,73.7,22.2,17.8
1,0.0,22.8,13.9
1,0.0,25.0,16.1
1,0.0,25.6,16.1
1,0.0,28.3,16.1
1,0.0,28.3,16.7
1,0.0,30.6,17.8
1,1.3,31.7,17.8
1,0.0,27.2,20.0
1,0.0,30.6,20.6
1,0.0,31.1,18.9
1,0.0,32.2,20.0
1,0.0,31.7,20.6
1,0.0,30.0,20.0
1,0.0,31.1,21.1
1,3.8,31.1,18.3
1,4.1,31.1,16.1
1,11.4,31.1,16.1
1,17.8,26.7,16.1
1,0.0,28.9,16.7
1,0.0,30.0,17.2
1,0.0,29.4,19.4
1,0.0,30.0,19.4
1,0.0,30.6,18.9
1,0.0,30.6,18.9
1,0.0,30.0,20.0
2,6.9,30.6,20.6
2,41.9,23.3,18.3
2,0.0,24.4,15.0
2,0.0,27.8,14.4
2,0.0,25.6,17.2
2,0.3,24.4,16.7
2,0.0,24.4,13.9
2,0.0,24.4,14.4
2,0.0,25.6,13.9
2,0.0,30.0,13.9
2,0.0,30.0,14.4
2,0.0,31.7,14.4
2,0.0,28.9,18.9
2,0.0,28.9,14.4
2,0.0,28.9,13.9
2,0.0,28.9,17.2
2,0.0,30.0,17.2
2,0.0,31.1,17.2
2,0.0,31.1,17.2
2,0.0,31.1,17.2
2,3.3,32.8,17.8
2,0.3,31.7,17.8
2,0.0,32.8,17.8
2,0.0,32.8,17.8
2,0.0,32.8,22.2
2,0.0,31.7,14.4
2,0.0,29.4,19.4
2,0.0,31.1,21.1
2,17.8,31.1,22.2
2,2.5,30.0,22.2
2,0.0,29.4,22.2
2,0.3,29.4,22.2
2,45.7,31.7,22.8
2,2.5,30.0,22.8
2,8.4,28.3,22.8
2,0.8,27.8,22.8
2,82.6,28.3,22.8
2,5.1,25.6,22.8
2,0.3,28.9,22.8
2,61.7,30.6,21.1
2,33.0,31.7,21.7
2,24.1,32.2,23.3
2,0.0,32.2,22.2
2,0.0,32.8,22.2
2,0.0,30.6,23.3
2,0.0,31.7,23.3
2,6.4,32.2,23.3
2,12.7,32.8,23.3
2,5.1,32.2,23.3
2,0.0,32.2,23.3
2,0.0,31.1,23.3
2,0.5,32.2,22.2
2,0.3,31.1,22.2
2,0.3,32.2,22.8
2,12.7,32.2,22.8
2,0.0,32.2,23.3
2,0.0,32.8,23.3
2,24.1,32.8,22.2
2,18.3,31.7,23.3
2,0.3,31.7,23.3
2,14.7,30.0,23.3
3,6.6,30.0,23.3
3,27.2,30.0,22.2
3,28.2,30.0,22.2
3,34.0,31.1,22.2
3,16.5,32.2,22.2
3,6.4,31.7,23.3
3,0.0,32.2,23.3
3,0.0,32.2,23.3
3,3.8,32.2,23.9
3,0.0,32.8,23.9
3,0.0,32.2,23.3
3,27.9,29.4,23.3
3,1.8,30.6,23.3
3,4.6,30.0,22.2
3,1.0,30.0,22.2
3,0.5,31.1,23.3
3,5.6,30.6,22.2
3,0.5,30.6,22.8
3,38.6,29.4,21.7
3,2.5,30.6,22.2
3,3.8,31.7,22.8
3,0.0,31.7,23.9
3,0.0,32.2,23.9
3,0.0,31.1,23.9
3,0.0,32.2,24.4
3,29.2,30.0,23.3
3,0.3,31.7,25.0
3,0.0,32.8,23.9
3,11.4,28.9,22.2
3,0.0,32.8,24.4
3,0.0,33.3,24.4
3,0.0,32.8,25.0
3,8.9,33.3,23.3
3,0.0,32.2,23.9
3,0.0,32.2,24.4
3,0.0,32.2,24.4
3,0.0,32.8,25.0
3,0.0,32.2,24.4
3,0.0,33.9,24.4
3,2.5,33.9,23.9
3,6.4,31.7,22.8
3,0.0,33.3,25.0
3,0.0,33.9,25.6
3,0.0,33.9,23.9
3,0.0,33.9,23.9
3,9.4,32.2,23.3
3,8.9,32.2,23.9
3,11.4,33.3,22.8
3,2.5,33.3,23.9
3,12.7,32.2,23.9
3,50.8,33.3,22.2
3,17.8,33.3,22.2
3,0.0,32.8,24.4
3,10.9,32.8,23.3
3,0.0,32.8,23.3
3,3.6,32.8,23.3
3,0.5,30.6,23.9
3,8.4,31.7,23.3
3,0.0,31.7,23.3
3,0.0,32.2,22.8
3,0.0,32.2,22.8
3,0.5,32.2,22.8
3,20.3,30.6,22.8
3,2.5,31.7,22.8
3,0.0,31.1,23.3
3,9.7,30.6,23.3
3,17.0,32.2,21.7
3,5.6,32.2,22.8
3,2.8,33.3,21.7
3,5.6,33.3,21.7
3,0.0,33.3,21.7
3,0.0,33.3,21.7
3,0.0,31.1,23.3
3,0.0,31.7,23.9
3,0.0,31.1,21.7
3,0.0,31.1,21.7
3,0.0,32.8,23.3
3,43.2,32.8,20.6
3,5.1,32.8,20.6
3,7.6,30.6,22.8
3,0.8,31.1,22.8
3,0.5,31.1,22.8
3,0.0,30.6,21.7
3,0.0,31.7,21.7
3,0.0,31.7,21.7
3,50.8,25.6,23.3
3,52.1,26.7,21.1
3,16.5,28.9,21.1
3,0.5,30.6,20.6
3,0.0,30.6,20.6
3,0.0,30.0,21.1
3,0.0,30.0,21.1
2,0.0,30.6,23.3
2,0.0,31.1,22.8
2,0.0,30.6,22.8
2,0.0,31.1,22.8
2,0.0,31.7,23.3
2,0.0,31.7,22.8
2,16.5,31.1,22.8
2,0.0,31.7,22.8
2,0.0,31.7,22.2
2,0.0,28.9,21.1
2,0.0,29.4,21.7
2,0.0,29.4,21.1
2,0.0,30.0,21.1
2,0.0,29.4,18.3
2,0.0,29.4,18.3
2,0.0,28.3,20.0
2,0.0,28.3,21.1
2,0.0,30.6,21.1
2,0.0,31.7,22.8
2,0.0,31.7,22.8
2,0.0,30.6,22.8
2,0.0,30.6,20.6
2,6.9,31.1,21.1
2,0.0,30.6,16.1
2,0.0,30.6,14.4
2,0.0,30.6,14.4
2,0.0,26.1,14.4
2,0.0,25.6,16.1
2,0.0,27.8,16.1
2,0.0,27.8,18.3
2,0.0,28.3,18.9
2,0.0,29.4,20.6
2,3.3,28.9,19.4
2,0.5,29.4,15.6
2,0.0,23.9,14.4
2,0.0,25.6,15.0
2,0.0,26.7,20.0
2,0.0,28.3,19.4
2,0.0,28.3,18.3
2,0.0,28.3,17.2
2,0.0,26.7,17.8
2,0.0,27.8,17.8
2,0.0,27.8,17.8
2,0.0,25.6,15.0
2,0.0,25.6,11.1
2,0.0,26.1,11.1
2,0.0,25.6,11.1
2,0.0,23.3,11.1
2,0.0,29.4,19.4
2,12.2,29.4,19.4
2,0.0,29.4,17.2
2,0.0,29.4,17.2
2,0.0,29.4,17.2
2,0.0,27.2,16.7
2,0.0,27.2,8.9
2,0.0,21.7,15.0
2,0.0,23.9,15.0
2,19.1,27.2,19.4
2,0.0,20.6,2.8
2,0.0,17.8,5.0
2,0.0,21.1,10.6
0,0.0,21.1,10.6
0,0.0,23.9,15.0
0,0.0,24.4,15.6
0,0.0,24.4,17.2
0,0.0,27.2,18.3
0,0.0,27.8,17.2
0,0.0,28.9,18.3
0,0.0,27.2,18.9
0,0.0,28.3,18.9
0,0.0,28.3,17.2
0,0.0,27.2,17.2
0,0.0,26.7,16.7
0,0.0,22.2,10.0
0,0.0,23.3,11.1
0,0.0,23.3,11.1
0,0.0,27.8,11.1
0,17.8,18.3,7.2
0,0.0,21.1,7.2
0,0.0,21.7,7.2
0,0.0,24.4,7.2
0,0.0,27.2,8.3
0,0.0,28.3,20.0
0,0.0,28.3,19.4
0,0.0,27.8,16.1
0,0.0,21.1,8.3
0,0.0,23.3,9.4
0,0.0,23.9,15.6
0,0.0,23.9,15.6
0,12.7,26.1,18.9
0,2.5,23.9,15.6
0,0.0,24.4,15.0
0,0.0,27.2,16.7
0,0.0,28.3,18.3
0,0.0,28.3,20.0
0,0.0,24.4,10.0
0,0.0,24.4,6.7
0,0.0,28.3,10.6
0,0.0,30.0,16.1
0,0.0,30.6,17.8
0,0.0,27.2,18.3
0,0.0,29.4,16.1
0,6.4,29.4,20.0
0,0.0,30.0,18.3
0,0.0,29.4,16.1
0,0.0,30.0,15.0
0,0.0,31.7,17.2
0,0.0,29.4,17.8
0,0.0,31.1,16.1
0,0.0,31.1,15.0
0,0.0,31.1,15.6
0,0.5,30.6,16.1
0,16.0,30.6,17.8
0,1.0,30.0,20.0
0,0.0,27.8,19.4
0,0.0,27.2,19.4
0,8.6,26.7,20.6
0,0.0,27.2,16.7
0,0.0,31.1,15.0
0,0.0,29.4,17.2
0,0.0,27.2,17.2
0,0.0,27.8,17.8
0,3.3,27.8,19.4
0,0.0,27.2,18.3
0,0.0,28.3,16.1
0,0.0,30.0,16.7
0,6.1,28.9,16.7
0,0.3,27.8,19.4
0,0.0,28.3,19.4
0,0.0,30.0,16.1
0,0.0,28.9,15.0
0,0.0,27.8,15.0
0,0.0,28.3,15.0
0,0.0,27.8,16.7
0,0.0,28.9,17.8
0,0.0,27.2,16.7
0,0.0,30.0,18.9
0,0.0,30.0,17.8
0,0.0,28.9,16.7
0,0.0,30.0,17.2
0,0.0,28.9,19.4
0,0.8,27.8,21.1
0,11.4,28.9,18.9
0,14.0,28.3,20.0
0,30.2,26.7,15.0
0,0.0,23.9,18.3
0,0.0,22.2,12.2
0,0.0,25.0,10.0
0,0.0,26.1,13.9
0,0.0,27.8,15.6
0,0.3,29.4,18.3
0,0.0,31.7,20.0
0,0.0,32.2,20.6
1,0.8,33.3,21.1
1,0.0,33.3,21.7
1,0.0,30.6,21.1
1,0.0,29.4,22.2
1,0.0,28.9,19.4
1,0.0,29.4,20.6
1,0.0,29.4,20.0
1,0.0,28.9,18.9
1,0.0,30.0,22.8
1,0.0,30.0,20.6
1,0.0,33.3,17.8
1,0.0,34.4,21.7
1,0.0,31.7,21.7
1,0.0,29.4,22.8
1,0.0,30.6,21.1
1,7.1,28.3,21.1
1,13.7,28.9,21.1
1,0.0,30.0,20.6
1,0.0,32.8,21.7
1,0.0,32.2,20.6
1,0.0,32.8,18.9
1,0.0,30.0,17.8
1,0.0,32.2,18.9
1,14.7,35.0,22.2
1,0.0,34.4,22.8
1,0.0,34.4,22.2
1,0.0,31.1,22.8
1,14.7,30.6,23.9
1,0.8,29.4,26.7
1,0.0,30.6,26.7
1,0.0,30.6,26.1
2,65.5,27.8,22.2
2,0.0,30.0,21.7
2,0.0,30.0,21.7
2,0.0,30.6,21.7
2,0.5,29.4,24.4
2,28.2,30.0,22.8
2,52.6,30.0,23.3
2,25.4,30.6,22.2
2,0.5,31.7,22.2
2,0.0,33.3,24.4
2,0.0,33.3,23.3
2,0.0,31.7,23.3
2,0.0,31.7,24.4
2,0.0,32.2,23.3
2,0.0,33.9,22.2
2,0.0,32.8,23.3
2,0.0,32.8,21.7
2,0.0,33.3,20.6
2,0.0,31.7,21.1
2,25.1,32.2,23.9
2,32.3,32.2,23.3
2,3.0,30.0,23.9
2,30.5,26.1,23.3
2,48.0,27.8,23.9
2,60.7,29.4,24.4
2,18.8,28.9,25.0
2,1.3,29.4,23.9
2,0.0,32.2,22.2
2,0.0,30.0,21.7
2,0.0,30.6,25.6
3,0.0,31.1,23.3
3,0.0,31.7,25.0
3,0.0,31.7,24.4
3,0.0,32.2,25.0
3,1.3,31.7,23.3
3,0.0,31.7,23.9
3,1.3,33.9,23.9
3,12.2,35.6,23.9
3,0.8,33.9,25.0
3,6.4,31.7,23.3
3,4.6,30.6,23.3
3,4.8,31.1,23.3
3,20.6,31.1,23.9
3,4.6,33.3,23.3
3,49.3,31.7,23.3
3,3.0,30.0,23.3
3,5.1,28.9,23.9
3,0.0,31.7,26.1
3,0.0,32.2,25.6
3,0.0,32.2,25.0
3,0.0,32.8,24.4
3,32.0,34.4,22.8
3,0.0,31.7,23.3
3,0.0,32.2,23.9
3,0.0,32.2,27.8
3,0.0,32.2,27.8
3,0.0,32.2,27.2
3,0.0,32.2,25.0
3,0.0,32.2,25.0
3,0.0,32.8,25.0
3,0.0,32.8,25.0
2,0.0,32.2,28.3
2,0.0,32.2,25.0
2,0.0,33.3,23.9
2,0.0,35.0,23.3
2,3.3,32.8,24.4
2,19.1,32.8,23.3
2,0.0,32.2,23.3
2,0.0,32.8,25.6
2,0.0,33.3,25.0
2,0.3,32.8,25.0
2,25.1,32.8,23.9
2,74.7,32.8,23.3
2,1.8,31.7,25.0
2,0.8,32.8,25.0
2,0.0,32.8,23.9
2,7.1,32.2,25.0
2,0.0,32.2,25.6
2,9.1,28.9,25.0
2,10.2,32.8,24.4
2,5.6,32.8,25.0
2,17.3,32.8,22.8
2,9.7,32.2,22.8
2,0.0,32.8,22.8
2,0.0,33.9,23.9
2,0.0,33.3,23.3
2,20.8,29.4,24.4
2,15.7,31.7,25.0
2,11.2,31.7,25.0
2,0.3,31.7,24.4
2,0.0,32.2,24.4
2,11.4,33.9,24.4
3,0.0,33.9,25.0
3,0.0,33.3,23.3
3,0.0,32.8,22.2
3,0.0,31.7,23.3
3,0.0,31.7,23.9
3,5.8,31.7,23.9
3,0.0,31.7,23.9
3,0.0,31.7,25.0
3,17.3,30.0,25.6
3,0.0,31.7,25.0
3,5.8,32.8,23.9
3,0.0,32.8,23.3
3,3.3,31.1,23.9
3,3.8,32.2,23.9
3,0.0,31.7,23.9
3,3.6,31.7,23.3
3,0.0,32.2,22.8
3,1.5,32.2,25.0
3,0.0,30.6,25.0
3,0.0,31.1,23.9
3,1.8,32.2,23.3
3,0.3,31.1,22.8
3,0.0,33.9,22.8
3,0.0,30.6,22.2
3,0.0,30.0,20.6
3,6.1,31.7,22.8
3,0.0,33.3,22.2
3,0.0,32.8,22.8
3,0.0,30.0,23.3
3,0.0,30.6,22.8
3,0.0,31.7,24.4
3,8.1,29.4,24.4
3,54.6,30.0,23.9
3,19.6,31.7,22.2
3,2.0,31.1,22.8
3,0.0,31.1,23.3
3,0.0,31.7,22.2
3,0.0,30.0,22.8
3,0.0,31.7,22.2
3,0.0,31.1,21.7
3,0.0,30.6,20.0
3,0.0,30.6,20.0
3,0.0,31.1,20.0
3,0.0,31.7,21.1
3,0.0,31.7,22.8
3,0.0,31.1,20.0
3,0.0,27.2,21.1
3,0.0,29.4,20.6
3,0.0,30.0,20.6
3,0.0,29.4,17.2
3,0.0,28.9,16.1
3,0.0,30.6,18.9
3,0.0,30.0,18.9
3,0.0,31.7,20.6
3,0.0,28.9,22.2
3,0.0,31.1,23.3
3,0.0,27.8,22.2
3,0.0,25.0,18.9
3,0.0,21.1,16.1
3,0.0,21.1,15.6
3,0.0,23.3,15.0
1,0.0,24.4,16.7
1,0.0,25.0,13.3
1,0.0,26.1,12.8
1,0.0,26.1,16.1
1,0.0,25.0,18.3
1,8.9,23.9,16.1
1,0.0,21.1,16.1
1,0.0,20.0,10.0
1,0.0,23.9,7.8
1,0.0,25.6,11.7
1,0.0,28.3,13.9
1,0.0,28.9,16.7
